Incident_ID,Incident_Type,System_Impacted,Department,Location,Priority,Reported_Timestamp,Resolved_Timestamp,Resolution_Time_Hours,Status
INC-2025-0001,Unauthorized Access Attempt,SAP ERP,Marketing,Cloud Instance,High,06-05-2025 07:08,07-05-2025 10:14,27.1,Closed
INC-2025-0002,Unpatched Server,SAP ERP,Finance,Data Center A,High,16-09-2025 19:01,18-09-2025 01:13,30.21,Closed
INC-2025-0003,Backup Failure,Workday HRMS,Engineering,Head Office,Low,23-03-2025 22:27,24-03-2025 02:30,4.06,Closed
INC-2025-0004,Backup Failure,Salesforce CRM,Finance,Cloud Instance,High,06-11-2025 08:51,06-11-2025 23:36,14.76,Closed
INC-2025-0005,Stale User Account Active,Workday HRMS,Engineering,Data Center B,Medium,05-07-2025 18:12,05-07-2025 19:19,1.13,Closed
INC-2025-0006,Unauthorized Access Attempt,Workday HRMS,HR,Remote Branch,Critical,23-05-2025 14:40,23-05-2025 18:55,4.26,Resolved
INC-2025-0007,Unauthorized Access Attempt,Internal Database,Marketing,Data Center B,Critical,22-11-2025 05:34,22-11-2025 09:50,4.28,Closed
INC-2025-0008,Stale User Account Active,Active Directory,Sales,Cloud Instance,Medium,29-01-2025 07:52,29-01-2025 16:58,9.1,Closed
INC-2025-0009,Unpatched Server,Salesforce CRM,Marketing,Remote Branch,Medium,22-07-2025 20:29,23-07-2025 00:05,3.61,Closed
INC-2025-0010,Data Leakage Alert,Office 365,Operations,Cloud Instance,High,23-04-2025 04:32,24-04-2025 14:21,33.83,Closed
INC-2025-0011,Weak Password Policy Violation,AWS Cloud Infrastructure,Marketing,Head Office,High,17-07-2025 12:38,,,Open
INC-2025-0012,Stale User Account Active,Internal Database,Finance,Head Office,High,16-12-2025 17:48,17-12-2025 18:22,24.58,Closed
INC-2025-0013,Failed Patch Deployment,Internal Database,Marketing,Data Center B,Low,02-04-2025 16:58,03-04-2025 16:31,23.56,Closed
INC-2025-0014,Unpatched Server,Workday HRMS,Engineering,Data Center B,Low,29-09-2025 00:38,29-09-2025 01:08,0.5,Closed
INC-2025-0015,Unauthorized Access Attempt,Active Directory,Engineering,Data Center A,Medium,18-10-2025 02:05,19-10-2025 18:42,40.63,Closed
INC-2025-0016,Weak Password Policy Violation,AWS Cloud Infrastructure,Marketing,Data Center A,Medium,16-05-2025 16:55,20-05-2025 00:56,80.02,Closed
INC-2025-0017,Data Leakage Alert,Salesforce CRM,Marketing,Cloud Instance,Critical,13-08-2025 16:28,13-08-2025 22:34,6.11,Closed
INC-2025-0018,Unauthorized Access Attempt,SAP ERP,HR,Head Office,High,28-04-2025 02:57,28-04-2025 12:34,9.63,Closed
INC-2025-0019,Stale User Account Active,Active Directory,Sales,Data Center B,High,23-10-2025 15:15,25-10-2025 06:47,39.54,Resolved
INC-2025-0020,Data Leakage Alert,AWS Cloud Infrastructure,Operations,Head Office,Critical,11-12-2025 20:41,12-12-2025 09:02,12.36,Closed
INC-2025-0021,Data Leakage Alert,Office 365,HR,Data Center A,Critical,05-08-2025 05:17,07-08-2025 07:05,49.81,Closed
INC-2025-0022,Stale User Account Active,SAP ERP,Finance,Data Center B,High,08-01-2025 02:59,08-01-2025 09:27,6.47,Resolved
INC-2025-0023,Data Leakage Alert,Active Directory,Finance,Head Office,High,19-07-2025 08:59,19-07-2025 23:33,14.57,Resolved
INC-2025-0024,Stale User Account Active,Internal Database,Sales,Remote Branch,Medium,21-03-2025 06:18,21-03-2025 07:45,1.45,Closed
INC-2025-0025,Data Leakage Alert,Office 365,Finance,Data Center B,Critical,29-09-2025 05:03,,,Open
